__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,a_g,w_g
1784041623.882870,7769.000000000,388.000000000,0.475869626,0.037894119,-0.358258180,-0.002389927
1784041623.893031,7730.000000000,341.000000000,0.475821674,0.037894119,-0.176004128,-0.002363952
1784041623.902740,7725.000000000,369.000000000,0.475821674,0.037966024,-0.001170789,-0.002413191
1784041623.912786,7742.000000000,369.000000000,0.475821674,0.037942056,0.119662699,0.000000000
1784041623.922795,7789.000000000,397.000000000,0.475917548,0.037942056,0.358720619,0.004780714
1784041623.933110,7771.000000000,395.000000000,0.475869626,0.037894119,0.116082767,0.002359321
1784041623.942684,7761.000000000,388.000000000,0.475845635,0.037894119,-0.422161067,-0.003615696
1784041623.952919,7753.000000000,379.000000000,0.475821674,0.038013961,-0.241306095,-0.002420714
1784041623.962740,7765.000000000,379.000000000,0.475821674,0.038013961,0.120709932,-0.001194679
1784041623.972643,7756.000000000,357.000000000,0.475941509,0.037966024,0.430782086,0.006075780
1784041623.982780,7777.000000000,399.000000000,0.475917548,0.037894119,0.298362262,0.004784298
1784041623.992770,7733.000000000,349.000000000,0.475893587,0.037870150,-0.420155996,-0.002380924
1784041624.002770,7742.000000000,352.000000000,0.475845635,0.037870150,-0.419283661,-0.003597369
1784041624.012675,7733.000000000,341.000000000,0.475821674,0.037989993,-0.061887208,-0.003612795
1784041624.022763,7760.000000000,381.000000000,0.475941509,0.037989993,0.419798000,0.004795480
1784041624.032729,7764.000000000,395.000000000,0.475941509,0.037966024,0.478135200,0.005975663
1784041624.042822,7785.000000000,392.000000000,0.475917548,0.037894119,-0.298621878,-0.001194537
1784041624.052888,7785.000000000,377.000000000,0.475845635,0.037894119,-0.532336412,-0.004755837
1784041624.062818,7777.000000000,387.000000000,0.475845635,0.038013961,-0.120113142,-0.003596340
1784041624.072763,7780.000000000,385.000000000,0.475821674,0.037989993,0.178632792,-0.001205629
1784041624.083059,7767.000000000,414.000000000,0.475941509,0.037989993,0.411694405,0.004736678
1784041624.092807,7773.000000000,377.000000000,0.475941509,0.037894119,0.358412396,0.005978507
1784041624.102789,7733.000000000,344.000000000,0.475917548,0.037894119,-0.301613451,-0.001214399
1784041624.112883,7744.000000000,375.000000000,0.475869626,0.037894119,-0.476150263,-0.003580590
1784041624.123089,7732.000000000,341.000000000,0.475845635,0.038013961,-0.114696856,-0.003542653
1784041624.132772,7771.000000000,364.000000000,0.475941509,0.037989993,0.361751489,0.003614241
1784041624.142723,7721.000000000,350.000000000,0.475965500,0.037870150,0.491372821,0.006104965
1784041624.152819,7750.000000000,379.000000000,0.475941509,0.037894119,-0.180286693,0.000000000
1784041624.162714,7740.000000000,352.000000000,0.475821674,0.037894119,-0.665254135,-0.007194395
1784041624.172718,7744.000000000,365.000000000,0.475845635,0.037989993,-0.242115498,-0.004817945
1784041624.182816,7750.000000000,348.000000000,0.475845635,0.037989993,0.417190208,0.001191973
1784041624.192765,7757.000000000,373.000000000,0.475941509,0.037989993,0.478913985,0.004782591
1784041624.202761,7769.000000000,380.000000000,0.475941509,0.037918087,0.181237803,0.004806830
1784041624.212815,7783.000000000,404.000000000,0.475941509,0.037846182,-0.238532616,0.000000000
1784041624.222769,7689.000000000,298.000000000,0.475845635,0.037870150,-0.479735827,-0.004791766
1784041624.232933,7764.000000000,397.000000000,0.475845635,0.037989993,-0.236887386,-0.004765644
1784041624.242759,7765.000000000,391.000000000,0.475917548,0.037989993,0.419671559,0.003597455
1784041624.252880,7785.000000000,414.000000000,0.475941509,0.038013961,0.479848153,0.004806256
1784041624.263023,7765.000000000,365.000000000,0.475941509,0.037918087,-0.119178330,0.001182464
1784041624.272967,7759.000000000,385.000000000,0.475821674,0.037894119,-0.536270141,-0.005965805
1784041624.282809,7791.000000000,387.000000000,0.475845635,0.037894119,-0.304677177,-0.004845697
1784041624.292786,7784.000000000,402.000000000,0.475869626,0.037989993,0.423093306,0.002419491
1784041624.302732,7803.000000000,393.000000000,0.475917548,0.037989993,0.424375236,0.003609422
