__time,lift_angle(deg),lpf_b,lpf_r,median_b,median_r,raw_b,raw_r,time
27.379817,34.994201000,5138.638107000,355.169581000,5146.000000000,354.000000000,5150.000000000,325.000000000,27.379817000
27.389914,34.994201000,5136.674297000,355.652623000,5145.500000000,354.000000000,5119.000000000,360.000000000,27.389914000
27.389956,34.994201000,5134.906867000,356.087361000,5145.000000000,354.000000000,5119.000000000,360.000000000,27.389956000
27.399784,34.994201000,5133.316180000,352.378624000,5142.000000000,352.000000000,5119.000000000,319.000000000,27.399784000
27.399802,34.992828000,5131.884562000,349.040762000,5139.000000000,350.000000000,5119.000000000,319.000000000,27.399802000
27.409798,34.992828000,5133.296106000,347.336686000,5139.000000000,349.500000000,5146.000000000,332.000000000,27.409798000
27.409829,34.992828000,5134.566495000,345.803017000,5139.000000000,349.000000000,5146.000000000,332.000000000,27.409829000
27.419882,34.992828000,5136.809846000,350.922716000,5142.000000000,349.500000000,5157.000000000,397.000000000,27.419882000
27.419936,34.994201000,5138.828861000,355.530444000,5145.000000000,350.000000000,5157.000000000,397.000000000,27.419936000
27.429838,34.994201000,5142.545975000,362.277400000,5145.000000000,350.000000000,5176.000000000,423.000000000,27.429838000
27.429855,34.994201000,5145.891378000,368.349660000,5145.000000000,350.000000000,5176.000000000,423.000000000,27.429855000
27.439752,34.994201000,5147.702240000,371.214694000,5145.000000000,350.000000000,5164.000000000,397.000000000,27.439752000
27.439766,34.994201000,5149.332016000,373.793224000,5145.000000000,350.000000000,5164.000000000,397.000000000,27.439766000
27.449848,34.994201000,5148.298814000,375.513902000,5142.000000000,352.000000000,5139.000000000,391.000000000,27.449848000
27.449891,34.994201000,5147.368933000,377.062512000,5139.000000000,354.000000000,5139.000000000,391.000000000,27.449891000
27.459875,34.994201000,5145.232040000,375.156260000,5139.000000000,356.000000000,5126.000000000,358.000000000,27.459875000
27.459911,34.994201000,5143.308836000,373.440634000,5139.000000000,358.000000000,5126.000000000,358.000000000,27.459911000
27.470104,34.994201000,5139.577952000,367.596571000,5139.000000000,358.000000000,5106.000000000,315.000000000,27.470104000
27.470248,34.994201000,5136.220157000,362.336914000,5139.000000000,358.000000000,5106.000000000,315.000000000,27.470248000
27.479758,34.994201000,5136.498141000,355.503223000,5139.000000000,358.000000000,5139.000000000,294.000000000,27.479758000
27.479786,34.992828000,5136.748327000,349.352900000,5139.000000000,358.000000000,5139.000000000,294.000000000,27.479786000
27.489869,34.992828000,5135.973494000,349.817610000,5139.000000000,358.000000000,5129.000000000,354.000000000,27.489869000
27.489901,34.992828000,5135.276145000,350.235849000,5139.000000000,358.000000000,5129.000000000,354.000000000,27.489901000
27.499817,34.992828000,5135.448530000,347.812264000,5139.000000000,358.000000000,5137.000000000,326.000000000,27.499817000
27.499837,34.992828000,5135.603677000,345.631038000,5139.000000000,358.000000000,5137.000000000,326.000000000,27.499837000
